PRMS_segid,comid_down,comid_seg,comid_cat
367_1,4494820,4494598;4494600;4494602;4494604;4494612;4494620;4494660;4494694;4494696;4494698;4494722;4494738;4494764;4494784;4494802;4494820;4495674;4495678,4489108;4494414;4494416;4494418;4494426;4494454;4494456;4494506;4494508;4494520;4494530;4494532;4494578;4494580;4494582;4494584;4494588;4494590;4494592;4494598;4494600;4494602;4494604;4494612;4494618;4494620;4494632;4494636;4494640;4494646;4494652;4494660;4494674;4494676;4494678;4494682;4494692;4494694;4494696;4494698;4494704;4494708;4494720;4494722;4494738;4494740;4494742;4494752;4494754;4494762;4494764;4494780;4494784;4494800;4494802;4494806;4494812;4494820;4494826;4494828;4494834;4494842;4494846;4494852;4494876;4494886;4494904;4495674;4495676;4495678;4495684;4495686;4495712;4495938;4495968;4496002;4496036;4496038;4496110;4496112;4496134;4496138;4496146;4496202;4496204;4496494;4496500;4496506;4496518
368_1,4494832,4491534;4491554;4491568;4492104;4492442;4492444;4492446;4492448;4492450;4494832;4494944;4496048,4491428;4491534;4491536;4491538;4491540;4491544;4491554;4491556;4491568;4492102;4492104;4492438;4492440;4492442;4492444;4492446;4492448;4492450;4492492;4492494;4494830;4494832;4494944;4496048
369_1,4495656,4489136;4495656,4489136;4495656
37_1,2586799,2586241;2586245;2586271;2586281;2586783;2586799;2586933,2583493;2583509;2583519;2586127;2586131;2586133;2586159;2586161;2586163;2586165;2586175;2586185;2586187;2586195;2586209;2586213;2586215;2586219;2586223;2586225;2586227;2586229;2586241;2586245;2586253;2586255;2586263;2586265;2586267;2586271;2586273;2586281;2586285;2586289;2586307;2586781;2586783;2586799;2586895;2586897;2586899;2586901;2586903;2586905;2586909;2586933;2586987;2586993;2586999;2587001;24944774;24944776;24944782;24944784;24944786;24944788;24944790;24944792;24944806;24944808;24944810;24944812;932040075;932040076;932040077;932040078;932040079;932040131;932040132;932040188;932040189
370_1,4495672,4491276;4495672,4491276;4495672
371_1,4495680,4495680,4489138;4494480;4495680;4496602
372_1,4495682,4489078;4489082;4489114;4489132;4494378;4494446;4494516;4494542;4494544;4495650;4495682;4499218,4489038;4489052;4489054;4489076;4489078;4489082;4489086;4489090;4489104;4489106;4489114;4489128;4489130;4489132;4489134;4489210;4489230;4494378;4494380;4494396;4494404;4494408;4494446;4494450;4494516;4494528;4494540;4494542;4494544;4494570;4495650;4495682;4496578;4496598;4499218
373_1,4495710,4495704;4495710,4494614;4494622;4494626;4494814;4495704;4495710;4496004;4496006;4496010;4496012;4496014
374_1,4495818,4495266;4495338;4495366;4495376;4495378;4495818;4495822;4495824;4495832;4495838;4496436;4496438;4496458;4496460;4496462;4496464;4496466;4496468;4499342,4495266;4495324;4495338;4495340;4495342;4495352;4495354;4495356;4495360;4495366;4495376;4495378;4495380;4495386;4495388;4495814;4495818;4495820;4495822;4495824;4495828;4495832;4495838;4496436;4496438;4496442;4496444;4496454;4496456;4496458;4496460;4496462;4496464;4496466;4496468;4496470;4496472;4496474;4496574;4496614;4499342;4499356
375_1,4495846,4495846,4494818;4495846
376_1,4495858,4489196;4489200;4489204;4495858,4488064;4489088;4489094;4489196;4489198;4489200;4489202;4489204;4490450;4490504;4490506;4490602;4492234;4492236;4492518;4495858;4499252
377_1,4495868,4495868,4495868
378_1,4495864,4495864,4495864
379_1,4499294,4489034;4489096;4489206;4495866;4499294,4489034;4489036;4489096;4489206;4495866;4499294
38_1,2586809,2586355;2586361;2586809,2586351;2586355;2586361;2586363;2586369;2586371;2586373;2586387;2586421;2586433;2586453;2586809;2587937;2587943;2587969;2587971;2588391;2588393;2588395;2588399
380_1,4495870,4494616;4494630;4494638;4494658;4494670;4495870;4495872;4495874;4495876;4495878;4495880;4495882;4495884;4499296,4491432;4491446;4492386;4492388;4492394;4494616;4494630;4494638;4494658;4494670;4494680;4494686;4495870;4495872;4495874;4495876;4495878;4495880;4495882;4495884;4496480;4499296
381_1,4495892,4494706;4495892;4495916,4494706;4495892;4495916
382_1,4496020,4495952;4495990;4496020,4491580;4491582;4491590;4491592;4491600;4491604;4491606;4491608;4491614;4491616;4491618;4491624;4492454;4492456;4492458;4492460;4492462;4492464;4492466;4492498;4492500;4492528;4494650;4494656;4494662;4494666;4494668;4494672;4494684;4494702;4494710;4494714;4494716;4494724;4494732;4494746;4494748;4494750;4494756;4494766;4494782;4494786;4494794;4494824;4494838;4494866;4494878;4494908;4494910;4494936;4494938;4494940;4494942;4494954;4494958;4494968;4494974;4494992;4495018;4495020;4495024;4495032;4495034;4495036;4495038;4495040;4495042;4495046;4495050;4495056;4495060;4495062;4495074;4495082;4495084;4495092;4495098;4495120;4495136;4495138;4495162;4495174;4495178;4495180;4495182;4495186;4495188;4495192;4495196;4495202;4495204;4495206;4495214;4495216;4495244;4495250;4495258;4495260;4495268;4495286;4495688;4495728;4495736;4495752;4495766;4495774;4495776;4495780;4495788;4495794;4495798;4495810;4495812;4495900;4495904;4495918;4495920;4495924;4495928;4495930;4495942;4495944;4495946;4495950;4495952;4495954;4495956;4495958;4495960;4495962;4495964;4495966;4495970;4495972;4495974;4495976;4495978;4495980;4495982;4495984;4495986;4495990;4495992;4495994;4495996;4495998;4496000;4496008;4496016;4496018;4496020;4496028;4496030;4496032;4496034;4496042;4496044;4496062;4496070;4496072;4496092;4496094;4496098;4496102;4496104;4496106;4496148;4496162;4496166;4496168;4496170;4496172;4496174;4496178;4496180;4496184;4496188;4496192;4496194;4496210;4496212;4496214;4496216;4496222;4496224;4496228;4496246;4496254;4496262;4496264;4496286;4496288;4496290;4496292;4496294;4496296;4496298;4496308;4496310;4496314;4496320;4496322;4496324;4496334;4496350;4496352;4496354;4496484;4496486;4496492;4496496;4496498;4496502;4496510;4496514;4496522;4496526;4496532;4496534;4496540;4496548;4496590;4496608;4499298;4499300;4499302;4499304;4499306;4499354;24945703;932040102;932040103;932040156;932040157
383_1,4496128,4496040;4496108;4496128,4494856;4494858;4494862;4494864;4494870;4494872;4494874;4494882;4494888;4494890;4494892;4494894;4494896;4494902;4494906;4494912;4494916;4494918;4494920;4494922;4494924;4494928;4494934;4494948;4494952;4494960;4494978;4495002;4495008;4495022;4495028;4495714;4495718;4495758;4496040;4496074;4496076;4496078;4496080;4496082;4496086;4496088;4496090;4496096;4496108;4496116;4496118;4496120;4496122;4496124;4496126;4496128;4496130;4496132;4496136;4496150;4496152;4496154;4496156;4496158;4496160;4496164;4496176;4496182;4496186;4496190;4496196;4496198;4496200;4496206;4496208;4496218;4496504;4496508;4496512;4496516;4499314;24945785;166754165;166754166
384_1,4496230,4496230,4496230
385_1,4496242,4496242,4496242
386_1,4496234,4496220;4496226;4496234,4494946;4494962;4494970;4494972;4495726;4495762;4496220;4496226;4496234;4496240;4496244;4496524
387_1,4499320,4494768;4495692;4496046;4496058;4496060;4496066;4496084;4496142;4496236;4499320,4494654;4494768;4494770;4494772;4494774;4494788;4494804;4495690;4495692;4495698;4495700;4495706;4496022;4496024;4496026;4496046;4496050;4496052;4496054;4496056;4496058;4496060;4496064;4496066;4496068;4496084;4496100;4496142;4496144;4496236;4496582;4499308;4499310;4499312;4499316;4499320
388_1,4496278,4496278,4496278
389_1,4496248,4496248,4496248
39_1,2587721,2586137;2586141;2586149;2587705;2587711;2587713;2587721,2583339;2583341;2583395;2583397;2583409;2583421;2583437;2583441;2583447;2583463;2583467;2583469;2583479;2583481;2583501;2583505;2583543;2583545;2583547;2583719;2583723;2583727;2583747;2583757;2583759;2583761;2584987;2584989;2586091;2586093;2586097;2586099;2586117;2586129;2586135;2586137;2586141;2586143;2586149;2586201;2586907;2586911;2586927;2587009;2587703;2587705;2587707;2587709;2587711;2587713;2587715;2587717;2587721;2587725;2588275;2588277;2588279;2588281;2588557
390_1,4496250,4496250,4496250
391_1,4496280,4496280,4496280
392_1,4496396,4495300;4495320;4495336;4495344;4495834;4496396;4496408;4496410;4496440,4495274;4495292;4495300;4495302;4495304;4495306;4495308;4495310;4495312;4495314;4495316;4495320;4495322;4495334;4495336;4495344;4495834;4496394;4496396;4496398;4496400;4496402;4496404;4496406;4496408;4496410;4496416;4496418;4496440;4496560;4496562;4496564;4496566;4496568;4496570
393_1,4499292,4494546;4494554;4494558;4495654;4495856;4499292,4490784;4490874;4490940;4490944;4491144;4491942;4492274;4492276;4492282;4492284;4492286;4492474;4494448;4494474;4494546;4494552;4494554;4494558;4494560;4495654;4495856;4495860;4495862;4496476;4499292
394_1,4499318,4495072;4495102;4495108;4495128;4495140;4495168;4495208;4495210;4495236;4495238;4495246;4495272;4495764;4495768;4496232;4496258;4496260;4496270;4496274;4496282;4496302;4496306;4496384;4499318,4495070;4495072;4495076;4495102;4495104;4495108;4495128;4495134;4495140;4495160;4495164;4495166;4495168;4495170;4495172;4495194;4495208;4495210;4495220;4495234;4495236;4495238;4495242;4495246;4495248;4495252;4495256;4495270;4495272;4495282;4495288;4495290;4495298;4495328;4495330;4495350;4495764;4495768;4495772;4495792;4495802;4495804;4495806;4495808;4496232;4496258;4496260;4496270;4496274;4496276;4496282;4496302;4496306;4496312;4496316;4496326;4496328;4496330;4496340;4496342;4496384;4496388;4496390;4496432;4496434;4496528;4496530;4496538;4496552;4496558;4496572;4496596;4496610;4499318;4499324;4499326;24945781;24945783;24945789
395_1,4499322,4494476;4494486;4494496;4494524;4494550;4494574;4494594;4494644;4494728;4494844;4495708;4495908;4495910;4495922;4495932;4495948;4495988;4496238;4499322,4494458;4494476;4494482;4494486;4494496;4494502;4494522;4494524;4494548;4494550;4494572;4494574;4494594;4494642;4494644;4494728;4494730;4494798;4494836;4494844;4495708;4495908;4495910;4495922;4495926;4495932;4495948;4495988;4496114;4496238;4499322
396_1,4499332,4495254;4495816;4495848;4496356;4496370;4496382;4496412;4496420;4496424;4496428;4496430;4499332;4499334,4495088;4495106;4495122;4495124;4495130;4495132;4495156;4495224;4495226;4495232;4495240;4495254;4495278;4495294;4495318;4495332;4495346;4495778;4495790;4495800;4495848;4496356;4496366;4496370;4496372;4496374;4496376;4496382;4496412;4496420;4496422;4496426;4496428;4496430;4496446;4496450;4496556;4496576;4496606;4499332;4499334;4499336;4499338;4499340
4_1,1748585,1748585,1748585;1748595
40_1,2587723,2583387;2583721;2584979;2584983;2585049;2585051;2585053;2587723;2588273,2583387;2583721;2584979;2584983;2585049;2585051;2585053;2587723;2588273
41_1,2587857,2587843;2587857;24944756,2587843;2587857;24944756
42_1,2587859,2586357;2587855;2587859;2588559,2586323;2586327;2586329;2586337;2586347;2586353;2586357;2586955;2586967;2586969;2586971;2587003;2587005;2587855;2587859;2587869;2588559
43_1,2587861,2587861,2587861
44_1,2588051,2586365;2586367;2586457;2586465;2586473;2586481;2586523;2586535;2586547;2586807;2586815;2587013;2588043;2588049;2588051,2586333;2586335;2586341;2586343;2586345;2586359;2586365;2586367;2586411;2586417;2586451;2586457;2586463;2586465;2586471;2586473;2586475;2586481;2586495;2586517;2586523;2586525;2586535;2586537;2586547;2586807;2586815;2586953;2586957;2586959;2586961;2586963;2586965;2587013;2588015;2588027;2588039;2588043;2588049;2588051;2588061;2593515
45_1,2588225,2586205;2586207;2586243;2586259;2586291;2586321;2586939;2586943;2586947;2587011;2587015;2587837;2588225;2593587,2586189;2586205;2586207;2586211;2586217;2586243;2586257;2586259;2586261;2586275;2586277;2586291;2586293;2586295;2586309;2586321;2586929;2586931;2586935;2586937;2586939;2586943;2586945;2586947;2586949;2586951;2586995;2586997;2587011;2587015;2587017;2587749;2587791;2587835;2587837;2588225;2588291;2588293;2588533;2593587;932040326;932040327;932040328
46_1,2588261,2588261,2588053;2588261
47_1,2588303,2588289;2588303;4154512;4154514;4154516;4158250;4158252,2587719;2587727;2587729;2587731;2587733;2587735;2588283;2588285;2588287;2588289;2588295;2588297;2588303;4154346;4154510;4154512;4154514;4154516;4158250;4158252
48_1,2588311,2587737;2587747;2587753;2588299;2588305;2588311,2587737;2587747;2587753;2588299;2588305;2588311
49_1,2588313,2588313,2587761;2587763;2587765;2587767;2587769;2587773;2587775;2587777;2587787;2588307;2588309;2588313;2588331;2588341;2588537
5_1,1748587,1748587,1748587
50_1,2588375,2588315;2588325;2588339;2588347;2588351;2588359;2588361;2588365;2588375,2587739;2587741;2587751;2587771;2587781;2587785;2587793;2587797;2587803;2587807;2587809;2587811;2587813;2587815;2587821;2587823;2587825;2587827;2587845;2588301;2588315;2588317;2588319;2588325;2588327;2588337;2588339;2588343;2588345;2588347;2588349;2588351;2588353;2588357;2588359;2588361;2588363;2588365;2588367;2588369;2588375;2588531;2588535;2588539;2588541;2588545;2588547
51_1,2588373,2588371;2588373,2588371;2588373
51_2,2588381,2588381,2588381
52_1,2588411,2588401;2588405;2588411,2587877;2587883;2587885;2587887;2587889;2587891;2587899;2587907;2587915;2587917;2587923;2587941;2587945;2588377;2588379;2588383;2588385;2588387;2588389;2588401;2588403;2588405;2588407;2588411;2588549;2588551
53_1,2588457,2588417;2588423;2588425;2588431;2588447;2588453;2588457;2593585,2587755;2587757;2587759;2587779;2587783;2587789;2587799;2587801;2587805;2587839;2587841;2587863;2587867;2587871;2587873;2587875;2587879;2587881;2587893;2587895;2587897;2587901;2587903;2587905;2587909;2587911;2587913;2587919;2587921;2587925;2587927;2587933;2587935;2587939;2587947;2587949;2587951;2587953;2587955;2587957;2587959;2587961;2587963;2587965;2587967;2587973;2587975;2587977;2587979;2587981;2587983;2587985;2587997;2587999;2588001;2588011;2588017;2588023;2588025;2588029;2588209;2588211;2588217;2588229;2588231;2588233;2588235;2588237;2588255;2588257;2588259;2588321;2588323;2588329;2588333;2588335;2588355;2588397;2588409;2588413;2588415;2588417;2588419;2588421;2588423;2588425;2588427;2588429;2588431;2588433;2588435;2588439;2588443;2588445;2588447;2588449;2588451;2588453;2588455;2588457;2588543;2588553;2593585;932040080;932040081;932040082;932040083;932040084;932040085;932040086;932040135;932040136
54_1,2588477,2588477,2588477
55_1,2588479,2588461;2588467;2588471;2588479;2593529;2593533,2586441;2586447;2586449;2586455;2586459;2586461;2586477;2586479;2586483;2586487;2586491;2586497;2586501;2586503;2586973;2586975;2586977;2586979;2587007;2587987;2587989;2587993;2587995;2588003;2588005;2588009;2588013;2588019;2588021;2588031;2588033;2588037;2588045;2588047;2588055;2588057;2588059;2588063;2588065;2588067;2588069;2588071;2588083;2588239;2588241;2588243;2588245;2588253;2588263;2588437;2588441;2588459;2588461;2588465;2588467;2588471;2588473;2588479;2588555;2588561;2588567;2593529;2593533
56_1,2588481,2588481,2588481
57_1,2588489,2588489;2588493;2588495;2588565;2593537,2588095;2588097;2588099;2588113;2588119;2588123;2588129;2588135;2588139;2588153;2588161;2588167;2588173;2588175;2588265;2588267;2588483;2588489;2588491;2588493;2588495;2588497;2588565;2591061;2593537
571_1,4648506,4648464;4648468;4648490;4648494;4648498;4648506;4648726;4648728;4648766,4648456;4648458;4648460;4648464;4648468;4648490;4648494;4648496;4648498;4648506;4648688;4648692;4648696;4648698;4648724;4648726;4648728;4648752;4648762;4648766
572_1,4648508,4648446;4648454;4648470;4648478;4648504;4648508;4648510;4648684;4648700,4648430;4648432;4648434;4648442;4648444;4648446;4648448;4648454;4648470;4648472;4648476;4648478;4648492;4648504;4648508;4648510;4648684;4648690;4648700;4648702;4648710;4648722;4648754;4648758;24946511
573_1,4648544,4648544,4648544
574_1,4648568,4648514;4648524;4648528;4648568,4648502;4648514;4648516;4648522;4648524;4648526;4648528;4648542;4648568
575_1,4648686,4648424;4648426;4648436;4648440;4648676;4648686;4648718;4648720,4648424;4648426;4648428;4648436;4648438;4648440;4648676;4648678;4648686;4648718;4648720;4648756
576_1,4648694,4648462;4648480;4648482;4648484;4648694,4648450;4648452;4648462;4648466;4648474;4648480;4648482;4648484;4648486;4648488;4648500;4648694;4648760
577_1,4648708,4648518;4648708;4648732,4648512;4648518;4648520;4648708;4648732
578_1,4650548,4648610;4648652;4648714;4650548;4651836,4648532;4648538;4648558;4648562;4648564;4648566;4648570;4648572;4648576;4648586;4648598;4648602;4648604;4648606;4648608;4648610;4648612;4648614;4648618;4648620;4648628;4648630;4648634;4648644;4648646;4648648;4648650;4648652;4648712;4648714;4648740;4650504;4650508;4650510;4650518;4650520;4650534;4650548;4651834;4651836;4652010;4652400
579_1,932040160,4648556;4648582;4648642;4648716;4648742;4648744;4652404;932040160;932040161;932040162,4648556;4648582;4648584;4648622;4648624;4648626;4648632;4648636;4648638;4648640;4648642;4648716;4648742;4648744;4648746;4648748;4648750;4650498;4650500;4650506;4650544;4650546;4650562;4652298;4652404;932040105;932040106;932040107;932040160;932040161;932040162
58_1,2590117,2590117,2590117
580_1,4650580,4650580,4650574;4650580
581_1,4650688,4650688,4650688;4650690
582_1,4650692,4650596;4650648;4650660;4650666;4650670;4650678;4650684;4650692;4650702;4650710;4650718;4651848;4651856,4650552;4650586;4650588;4650590;4650592;4650594;4650596;4650618;4650632;4650634;4650640;4650642;4650644;4650648;4650650;4650660;4650666;4650668;4650670;4650672;4650674;4650678;4650684;4650692;4650702;4650706;4650708;4650710;4650716;4650718;4650720;4650722;4650726;4650728;4650740;4650742;4650746;4650748;4650750;4650754;4650756;4650760;4650762;4650766;4650788;4650790;4650794;4650798;4650800;4650802;4650804;4650806;4650810;4650830;4650832;4650836;4650844;4650854;4650862;4650878;4651840;4651844;4651848;4651854;4651856;4651858;4652014;4652026;4652302;4652334
583_1,4650698,4650558;4650614;4650698,4650558;4650560;4650610;4650614;4650698
584_1,4650714,4650556;4650566;4650602;4650612;4650616;4650622;4650638;4650654;4650664;4650680;4650714;4651838,4648530;4648534;4648536;4648540;4648546;4648548;4648550;4648554;4648560;4648574;4648588;4648590;4648592;4648594;4648654;4648656;4648730;4648734;4648736;4648738;4648764;4650514;4650522;4650524;4650526;4650528;4650538;4650540;4650554;4650556;4650564;4650566;4650570;4650572;4650582;4650600;4650602;4650604;4650612;4650616;4650620;4650622;4650624;4650626;4650628;4650630;4650636;4650638;4650652;4650654;4650664;4650680;4650682;4650714;4651838;4652004;4652006;4652008;4652286;4652288;4652290;4652292;4652294;4652296;4652402;4652416;4655416;4655426;4655428
585_1,4651090,4650880;4650906;4651004;4651068;4651080;4651090;4651862;4652318,4650834;4650856;4650864;4650866;4650880;4650882;4650894;4650896;4650906;4650936;4650938;4650958;4650960;4650994;4651000;4651002;4651004;4651006;4651014;4651016;4651058;4651060;4651062;4651068;4651070;4651080;4651090;4651092;4651096;4651862;4651868;4652056;4652308;4652316;4652318;4652326;4652328;4652332
586_1,4651124,4651124,4651082;4651124
587_1,4651254,4650968;4651064;4651128;4651164;4651226;4651246;4651254;4651886,4650868;4650870;4650898;4650900;4650914;4650916;4650940;4650942;4650944;4650956;4650968;4650972;4650976;4650978;4650986;4650992;4650996;4651008;4651026;4651036;4651038;4651040;4651042;4651044;4651064;4651066;4651100;4651102;4651118;4651120;4651128;4651136;4651138;4651142;4651146;4651148;4651150;4651152;4651154;4651156;4651158;4651164;4651166;4651172;4651174;4651184;4651186;4651194;4651196;4651214;4651222;4651224;4651226;4651228;4651230;4651232;4651234;4651236;4651246;4651248;4651250;4651254;4651880;4651882;4651884;4651886;4651888;4652068;4652070;4652072;4652086;4652110;4652112;4652114;4652116;4652122;4652322;4652336;4652348;4652350;4652354;4652356;4652362;4652364
588_1,4651270,4651270,4651270;4651274
589_1,4651292,4651292,4651292;4651914
59_1,2590137,2589827;2590121;2590137;2593559;2593591,2589667;2589699;2589709;2589717;2589719;2589731;2589751;2589753;2589755;2589757;2589779;2589801;2589803;2589805;2589817;2589821;2589823;2589827;2589837;2589839;2589853;2589859;2589861;2589863;2589871;2590113;2590115;2590119;2590121;2590137;2590159;2590237;2590243;2590245;2590275;2590285;2590291;2590293;2593559;2593591
590_1,4651348,4651348,4651346;4651348
591_1,4651352,4651352,4651178;4651180;4651182;4651200;4651280;4651342;4651344;4651352;4651354;4651896;4651908;4651910;4652376
592_1,4651394,4651394,4651392;4651394
593_1,4651470,4651470,4651470;4651472;4651474;4651476;4651478;4651480;4651482;4651484;4651486;4651488;4651490;4651492;4651494;4651496;4651498;4651500;4651508;4651510;4651512;4651516;4651520;4651536;4651960;4651962;4652206;4652208;4652210;4652214;4652216;4652218;4652386;4652388;4652390
594_1,4651852,4650686;4651850;4651852,4650686;4650694;4650730;4651850;4651852
595_1,4651906,4651106;4651144;4651162;4651218;4651238;4651906;4652080;4652082,4651106;4651144;4651160;4651162;4651210;4651218;4651220;4651238;4651240;4651906;4652080;4652082;4652100;4652102
596_1,4651912,4651134;4651206;4651912,4650964;4650966;4650980;4650982;4651022;4651024;4651030;4651032;4651046;4651048;4651122;4651132;4651134;4651140;4651204;4651206;4651912;4652118;4652324;4652330;4652338;4652342
597_1,4651930,4651930,4651930;4651996
598_1,4651934,4651302;4651330;4651934,4651302;4651306;4651330;4651332;4651918;4651934;4652378
599_1,4651938,4651388;4651396;4651398;4651938,4651258;4651272;4651336;4651360;4651364;4651370;4651388;4651390;4651396;4651398;4651412;4651890;4651892;4651894;4651926;4651932;4651938;4652172;4652366
6_1,1748589,1748549;1748553;1748573;1748589,1748547;1748549;1748553;1748555;1748573;1748575;1748589;1748779
60_1,2590201,2590185;2590191;2590197;2590201;2591439,2586657;2586659;2586665;2586667;2586671;2586675;2586679;2586681;2586685;2586695;2586697;2586699;2586701;2588195;2589491;2589493;2589495;2589497;2589499;2589501;2589503;2589507;2589511;2589513;2589515;2589517;2589519;2589521;2589523;2589525;2589527;2589529;2589531;2589535;2589537;2589539;2589541;2589545;2589547;2589549;2589551;2589553;2589555;2589557;2589563;2589565;2589567;2589569;2589573;2589575;2589579;2589581;2589585;2590175;2590177;2590179;2590181;2590183;2590185;2590187;2590189;2590191;2590193;2590195;2590197;2590201;2590279;2591091;2591093;2591101;2591115;2591233;2591235;2591267;2591303;2591305;2591439;2591441;2591467;2591469;2591471
600_1,4651944,4651944,4651400;4651944
601_1,4651950,4651448;4651464;4651950;4652200;4652204,4651418;4651420;4651434;4651446;4651448;4651464;4651466;4651950;4652200;4652202;4652204;4652382
602_1,4651956,4651366;4651402;4651422;4651956,4651324;4651362;4651366;4651402;4651404;4651422;4651424;4651426;4651430;4651432;4651462;4651956;4652194
603_1,4652046,4650724;4650734;4652020;4652030;4652034;4652038;4652044;4652046;4652430;4652432;4655348;4655350;4655452,4650700;4650704;4650724;4650732;4650734;4650736;4650738;4650758;4650768;4650772;4650774;4650776;4650778;4650784;4650786;4650808;4650812;4650814;4650816;4650818;4650820;4650822;4650824;4650826;4650828;4650840;4650842;4650846;4650848;4650850;4650852;4650858;4650888;4650890;4650902;4651860;4652012;4652016;4652018;4652020;4652022;4652024;4652028;4652030;4652032;4652034;4652036;4652038;4652040;4652042;4652044;4652046;4652048;4652300;4652304;4652310;4652312;4652320;4652408;4652410;4652418;4652428;4652430;4652432;4652434;4652436;4652438;4652440;4655348;4655350;4655452
604_1,4652052,4652052,4650872;4650874;4650876;4650884;4650886;4650892;4650904;4652052;4652306;4652442
605_1,4652094,4652094,4651084;4651086;4651088;4651098;4651104;4651108;4651110;4651126;4651130;4652078;4652084;4652094;4652344;4652346;4652352;4652452
606_1,4652144,4652144;4652156;4652158;4652164;4652168;4652176,4651198;4651216;4651242;4651244;4651252;4651276;4651278;4651286;4651288;4651294;4651296;4651298;4651304;4651308;4651310;4651314;4651318;4651320;4651328;4651334;4651338;4651340;4651898;4651900;4651902;4651904;4651916;4651920;4651922;4652104;4652108;4652120;4652128;4652130;4652134;4652136;4652138;4652140;4652142;4652144;4652146;4652148;4652150;4652152;4652154;4652156;4652158;4652160;4652162;4652164;4652166;4652168;4652170;4652176;4652360;4652368;4652370;4652372;4652374
607_1,4652180,4651948;4652180;4652186;4652188;4652192;4652196,4651372;4651376;4651378;4651382;4651384;4651386;4651416;4651940;4651942;4651946;4651948;4652180;4652186;4652188;4652190;4652192;4652196;4652380;4652406;4655424;4655448
608_1,4653396,4653396,4653396
609_1,4653422,4653422;4653628,4653422;4653428;4653628
61_1,2590217,2590203;2590211;2590217,2589587;2589591;2589595;2589599;2589601;2589603;2589605;2589607;2589611;2589615;2589617;2589619;2589621;2589623;2589625;2589629;2589633;2589635;2589637;2590199;2590203;2590205;2590207;2590209;2590211;2590213;2590215;2590217;2590281;2590283;2590289;2591323;2591325;2591329
610_1,4655354,4652066;4655352;4655354;4655418;4655420;4655422,4650908;4650920;4650922;4650924;4650928;4650950;4650952;4650954;4650970;4650990;4651012;4651020;4651034;4652054;4652058;4652060;4652062;4652064;4652066;4652412;4652414;4652444;4652446;4655352;4655354;4655418;4655420;4655422
611_1,4655358,4652076;4655356;4655358,4650930;4650946;4650948;4650974;4650984;4650988;4650998;4651050;4651078;4652050;4652074;4652076;4652314;4652340;4652448;4652450;4655356;4655358
612_1,4655440,4652106;4655440,4651170;4651176;4651188;4651202;4652088;4652090;4652092;4652106;4652454;4655440
613_1,4655444,4652132;4655442;4655444,4651192;4651208;4651212;4652096;4652098;4652132;4652358;4652456;4652458;4655442;4655444
614_1,4655446,4651374;4652178;4652182;4652184;4655446,4651374;4651936;4652174;4652178;4652182;4652184;4655446
62_1,2590235,2589761;2589781;2589843;2589845;2589847;2589849;2589851;2589869;2590131;2590233;2590235;2590253;2590255;2590287,2589761;2589781;2589787;2589831;2589835;2589841;2589843;2589845;2589847;2589849;2589851;2589857;2589869;2589873;2589875;2589881;2589885;2589889;2590131;2590139;2590141;2590233;2590235;2590253;2590255;2590257;2590261;2590287
63_1,2590249,2590225;2590227;2590241;2590249,2589627;2589631;2589639;2589641;2589643;2589647;2589649;2589651;2589653;2589657;2589659;2589661;2589663;2589673;2589675;2589677;2589679;2589681;2589691;2589695;2589697;2589701;2589703;2589705;2589707;2589711;2589721;2589735;2589741;2589747;2590219;2590221;2590223;2590225;2590227;2590229;2590231;2590239;2590241;2590249;2591333;2591335;2591337;2591339
64_1,2590277,2589765;2589771;2589773;2590259;2590263;2590271;2590277,2589683;2589685;2589687;2589689;2589713;2589725;2589727;2589733;2589737;2589743;2589745;2589759;2589763;2589765;2589767;2589771;2589773;2589775;2589783;2589785;2589793;2589807;2589809;2589811;2589813;2589833;2589867;2590129;2590247;2590251;2590259;2590263;2590265;2590267;2590269;2590271;2590273;2590277
65_1,2590295,2590295,2590295
66_1,2591187,2591053;2591083;2591097;2591127;2591131;2591177;2591187;2591191;2591197;2591201;2591203;2591205;2591207;2591211;2591381;2591383;2591427,2588177;2588179;2591051;2591053;2591065;2591073;2591075;2591077;2591079;2591081;2591083;2591095;2591097;2591103;2591105;2591125;2591127;2591131;2591137;2591147;2591149;2591151;2591153;2591159;2591161;2591163;2591177;2591179;2591187;2591191;2591195;2591197;2591201;2591203;2591205;2591207;2591209;2591211;2591213;2591215;2591257;2591263;2591277;2591285;2591291;2591301;2591375;2591377;2591379;2591381;2591383;2591385;2591387;2591421;2591423;2591425;2591427;2591429;2591431;2591433;2591451;2591453;2591455;2591459;2591463
67_1,2591219,2591109;2591121;2591123;2591145;2591169;2591181;2591185;2591189;2591193;2591217;2591219;2591369,2588145;2588181;2588183;2588269;2591099;2591107;2591109;2591121;2591123;2591143;2591145;2591155;2591169;2591171;2591173;2591175;2591181;2591183;2591185;2591189;2591193;2591199;2591217;2591219;2591223;2591225;2591227;2591229;2591231;2591243;2591251;2591255;2591271;2591287;2591297;2591299;2591313;2591319;2591365;2591369;2591371;2591373;2591457;2591461;2591465;2593577
68_1,2591241,2591221;2591237;2591241,2591221;2591237;2591241;2591247;2591249;2591253;2591279;2591281;2591283;2591289
