PRMS_segid,comid_down,comid_seg,comid_cat
259_1,4186383,4186339;4186365;4186367;4186373;4186383,4185499;4185525;4185549;4185551;4185555;4185577;4185579;4185599;4185629;4185651;4185707;4185729;4185757;4186327;4186339;4186341;4186365;4186367;4186369;4186373;4186377;4186383;4186521
26_1,1752113,1750399;1752009;1752027;1752033;1752047;1752113;1752117;1752119;1752123;1752125;1752129;1752171;1752843,1748625;1748631;1748651;1748777;1749321;1749323;1749325;1749401;1749403;1750365;1750367;1750387;1750399;1750447;1750473;1750573;1750643;1750671;1750711;1752003;1752005;1752007;1752009;1752011;1752013;1752023;1752027;1752029;1752033;1752035;1752043;1752045;1752047;1752049;1752051;1752055;1752057;1752059;1752063;1752067;1752069;1752073;1752093;1752105;1752113;1752115;1752117;1752119;1752121;1752123;1752125;1752127;1752129;1752161;1752165;1752167;1752169;1752171;1752843
260_1,4186385,4185217;4185237;4185275;4185285;4185321;4185331;4185409;4185427;4185503;4185511;4185561;4185573;4186085;4186129;4186153;4186271;4186299;4186337;4186385,4185213;4185217;4185235;4185237;4185273;4185275;4185283;4185285;4185293;4185303;4185309;4185319;4185321;4185323;4185327;4185331;4185333;4185335;4185337;4185339;4185343;4185361;4185365;4185367;4185369;4185379;4185391;4185393;4185399;4185401;4185403;4185409;4185411;4185421;4185427;4185429;4185431;4185443;4185445;4185453;4185455;4185457;4185459;4185461;4185469;4185471;4185473;4185475;4185477;4185479;4185483;4185485;4185495;4185503;4185511;4185513;4185557;4185561;4185573;4185627;4185633;4186083;4186085;4186087;4186125;4186129;4186143;4186153;4186155;4186157;4186161;4186269;4186271;4186299;4186301;4186337;4186343;4186385;4186481;4186483;4186489;4186495;932040306
261_1,4186403,4185705;4186391;4186393;4186403,4185705;4185715;4186389;4186391;4186393;4186403
262_1,4187083,4187041;4187045;4187049;4187057;4187083;4188061;4188067;4188071,4186991;4186995;4187003;4187005;4187011;4187031;4187033;4187037;4187041;4187045;4187047;4187049;4187057;4187083;4188055;4188057;4188061;4188065;4188067;4188071
263_1,4187341,4187341;4188127;4188143,4187095;4187113;4187117;4187121;4187129;4187131;4187151;4187153;4187155;4187157;4187181;4187183;4187187;4187189;4187195;4187221;4187341;4188111;4188113;4188119;4188127;4188129;4188143
264_1,4187645,4187515;4187645;4187991,4187515;4187559;4187645;4187989;4187991
265_1,4187699,4187569;4187585;4187623;4187651;4187655;4187675;4187697;4187699,4187569;4187585;4187589;4187593;4187623;4187625;4187627;4187629;4187649;4187651;4187655;4187657;4187675;4187695;4187697;4187699;4187701;4187703;4187705;4187707;4187709;4187715;4187717;4187719;4187723;4187725;4187727;4187729;4187753;4187775;4188003;4188297;4188339
266_1,4187713,4187713,4187611;4187631;4187637;4187639;4187641;4187659;4187663;4187665;4187669;4187671;4187685;4187713;4188249
267_1,4187763,4187763,4187751;4187755;4187757;4187761;4187763;4187767;4187769;4187773;4187781;4187785;4187789;4187799;4188009;4188289;4188291;4188293;4188295;4188303;4188305;4188307;4188309;4188311
268_1,4187851,4187849;4187851;4187863;4187889;4189339;4189343;4189347;4189351;4189357;4189413;4189415,4187793;4187801;4187803;4187807;4187809;4187811;4187813;4187817;4187819;4187821;4187823;4187825;4187827;4187829;4187833;4187835;4187841;4187843;4187845;4187847;4187849;4187851;4187861;4187863;4187883;4187885;4187889;4187891;4187893;4187895;4188313;4189325;4189327;4189331;4189337;4189339;4189341;4189343;4189345;4189347;4189351;4189353;4189355;4189357;4189359;4189361;4189363;4189365;4189367;4189369;4189413;4189415;4189417;4189419;4189421
269_1,4187925,4186011;4186029;4186989;4186993;4187027;4187043;4187063;4187067;4187145;4187149;4187165;4187167;4187179;4187925;4188023;4188025;4188027;4188039;4188041;4188045,4186011;4186029;4186965;4186967;4186969;4186973;4186985;4186989;4186993;4187013;4187015;4187025;4187027;4187043;4187051;4187061;4187063;4187067;4187069;4187079;4187081;4187089;4187099;4187101;4187103;4187105;4187107;4187109;4187115;4187127;4187133;4187135;4187137;4187139;4187143;4187145;4187149;4187161;4187165;4187167;4187169;4187179;4187203;4187211;4187913;4187923;4187925;4188021;4188023;4188025;4188027;4188033;4188039;4188041;4188045;4188047;4188059;4188075;4188077;4188315;4188319;4188321
27_1,1752131,1749415;1752111;1752131;1752173,1749317;1749415;1752107;1752111;1752131;1752163;1752173
